"id","tinh_tp","quan_huyen","phuong_xa","tinh_tp_lower","quan_huyen_lower","phuong_xa_lower"
707,Hà Nội,PHÚC THỌ,,ha noi,phuc tho,
708,Hà Nội,QUỐC OAI,,ha noi,quoc oai,
709,Hà Nội,SÓC SƠN,,ha noi,soc son,
710,Hà Nội,SƠN TÂY,,ha noi,son tay,
711,Hà Nội,THANH OAI,,ha noi,thanh oai,
712,Hà Nội,THANH TRÌ,,ha noi,thanh tri,
713,Hà Nội,THANH XUÂN,,ha noi,thanh xuan,
714,Hà Nội,THƯỜNG TÍN,,ha noi,thuong tin,
715,Hà Nội,THẠCH THẤT,,ha noi,thach that,
716,Hà Nội,TÂY HỒ,,ha noi,tay ho,
717,Hà Nội,ĐAN PHƯỢNG,,ha noi,dan phuong,
718,Hà Nội,ĐÔNG ANH,,ha noi,dong anh,
719,Hà Nội,ĐỐNG ĐA,,ha noi,dong da,
720,Hà Nội,ỨNG HÒA,,ha noi,ung hoa,
721,Hưng Yên,HƯNG YÊN,,hung yen,hung yen,
722,Hưng Yên,KHOÁI CHÂU,,hung yen,khoai chau,
723,Hưng Yên,KIM ĐỘNG,,hung yen,kim dong,
724,Hưng Yên,MỸ HÀO,,hung yen,my hao,
725,Hưng Yên,PHÙ CỪ,,hung yen,phu cu,
726,Hưng Yên,TIÊN LỮ,,hung yen,tien lu,
727,Hưng Yên,VĂN GIANG,,hung yen,van giang,
728,Hưng Yên,VĂN LÂM,,hung yen,van lam,
729,Hưng Yên,YÊN MỸ,,hung yen,yen my,
730,Hưng Yên,ÂN THI,,hung yen,an thi,
731,Hải Dương,BÌNH GIANG,,hai duong,binh giang,
732,Hải Dương,CHÍ LINH,,hai duong,chi linh,
733,Hải Dương,CẨM GIÀNG,,hai duong,cam giang,
734,Hải Dương,GIA LỘC,,hai duong,gia loc,
735,Hải Dương,HẢI DƯƠNG,,hai duong,hai duong,
736,Hải Dương,KIM THÀNH,,hai duong,kim thanh,
737,Hải Dương,KINH MÔN,,hai duong,kinh mon,
738,Hải Dương,NAM SÁCH,,hai duong,nam sach,
739,Hải Dương,NINH GIANG,,hai duong,ninh giang,
740,Hải Dương,THANH HÀ,,hai duong,thanh ha,
741,Hải Dương,THANH MIỆN,,hai duong,thanh mien,
742,Hải Dương,TỨ KỲ,,hai duong,tu ky,
743,Hải Phòng,AN DƯƠNG,,hai phong,an duong,
744,Hải Phòng,AN LÃO,,hai phong,an lao,
745,Hải Phòng,CÁT HẢI,,hai phong,cat hai,
746,Hải Phòng,DƯƠNG KINH,,hai phong,duong kinh,
747,Hải Phòng,HẢI AN,,hai phong,hai an,
748,Hải Phòng,HỒNG BÀNG,,hai phong,hong bang,
749,Hải Phòng,KIẾN AN,,hai phong,kien an,
750,Hải Phòng,KIẾN THUỴ,,hai phong,kien thuy,
751,Hải Phòng,LÊ CHÂN,,hai phong,le chan,
752,Hải Phòng,NGÔ QUYỀN,,hai phong,ngo quyen,
